,filename,text,duration
2338,019089,راستی مطلب زشت و زننده‌ای گفتید!,4.023
2340,019091,از این رو که برای خداوند رحمان فرزندی قائل شدند!,4.911
2343,019094,خداوند همه آنها را احصا کرده، و به دقّت شمرده است!,5.799
2349,020002,ما قرآن را بر تو نازل نکردیم که خود را به زحمت بیفکنی!,4.963
2352,020005,همان بخشنده‌ای که بر عرش مسلّط است.,4.389
2356,020009,و آیا خبر موسی به تو رسیده است؟,3.553
2364,020017,و آن چیست در دست راست تو، ای موسی؟!,3.814
2366,020019,گفت: «ای موسی! آن را بیفکن.»,4.545
2370,020023,تا از نشانه‌های بزرگ خویش به تو نشان دهیم.,4.441
2371,020024,اینک به سوی فرعون برو، که او طغیان کرده است.»,5.329
2373,020026,و کارم را برایم آسان گردان!,3.187
2374,020027,و گره از زبانم بگشای؛,2.612
2375,020028,تا سخنان مرا بفهمند!,2.456
2376,020029,و وزیری از خاندانم برای من قرار ده...,4.075
2377,020030,برادرم هارون را!,1.672
2378,020031,با او پشتم را محکم کن؛,2.769
2379,020032,و او را در کارم شریک ساز؛,2.664
2380,020033,تا تو را بسیار تسبیح گوییم؛,3.657
2381,020034,و تو را بسیار یاد کنیم؛,2.769
2382,020035,چرا که تو همیشه از حال ما آگاه بوده‌ای!»,4.65
2384,020037,و ما بار دیگر تو را مشمول نعمت خود ساختیم...,5.12
2385,020038,آن زمان که به مادرت آنچه لازم بود الهام کردیم...,5.12
2388,020041,و من تو را برای خودم ساختم (و پرورش دادم)!,5.538
2390,020043,بسوی فرعون بروید؛ که طغیان کرده است!,4.127
2396,020049,(فرعون) گفت: «پروردگار شما کیست، ای موسی؟!»,5.747
2415,020068,گفتیم: «نترس! تو مسلّماً (پیروز و) برتری!,5.747
2440,020093,از من پیروی نکردی؟! آیا فرمان مرا عصیان نمودی؟!»,5.224
2454,020107,به گونه‌ای که در آن، هیچ پستی و بلندی نمی‌بینی!»,4.284
2496,021014,گفتند: «ای وای بر ما! به یقین ما ستمگر بودیم!»,5.747
2502,021020,(تمام) شب و روز را تسبیح می‌گویند؛ و سست نمی‌گردند.,5.799
2535,021053,گفتند: «ما پدران خود را دیدیم که آنها را عبادت می‌کنند.»,5.747
2537,021055,گفتند: «آیا مطلب حقّی برای ما آورده‌ای، یا شوخی می‌کنی؟!»,5.851
2589,021107,ما تو را جز برای رحمت جهانیان نفرستادیم.,5.538
2615,022021,و برای آنان گرزهایی از آهن (سوزان) است.,5.642
2637,022043,و همچنین قوم ابراهیم و قوم لوط؛,4.127
2674,023002,آنها که در نمازشان خشوع دارند؛,3.448
2675,023003,و آنها که از لغو و بیهودگی روی‌گردانند؛,4.493
2676,023004,و آنها که زکات را انجام می‌دهند؛,3.709
2680,023008,و آنها که امانتها و عهد خود را رعایت می‌کنند؛,4.65
2681,023009,و آنها که بر نمازهایشان مواظبت می‌نمایند؛,4.859
2682,023010,(آری،) آنها وارثانند!,3.344
2684,023012,و ما انسان را از عصاره‌ای از گِل آفریدیم؛,5.016
2687,023015,سپس شما بعد از آن می‌میرید؛,3.553
2688,023016,سپس در روز قیامت برانگیخته می‌شوید!,3.866
2694,023022,و بر آنها و بر کشتیها سوار می‌شوید!,4.232
2703,023031,سپس جمعیّت دیگری را بعد از آنها به وجود آوردیم.,5.224
2708,023036,هیهات، هیهات از این وعده‌هایی که به شما داده می‌شود!,5.486
2714,023042,سپس اقوام دیگری را پس از آنها پدید آوردیم.,5.277
2729,023057,مسلّماً کسانی که از خوف پروردگارشان بیمناکند،,5.538
2730,023058,و آنان که به آیات پروردگارشان ایمان می‌آورند،,5.695
2731,023059,و آنها که به پروردگارشان شرک نمی‌ورزند،,4.65
2745,023073,بطور قطع و یقین، تو آنان را به راه راست دعوت می‌کنی.,5.695
2784,023112,(خداوند) می‌گوید: «چند سال در روی زمین توقّف کردید؟»,5.642
2920,025066,مسلّماً آن (جهنم)، بد جایگاه و بد محلّ اقامتی است!»,5.59
2933,026002,این آیات کتاب روشنگر است.,3.396
2940,026009,و پروردگار تو عزیز و رحیم است!,4.493
2954,026023,فرعون گفت: «پروردگار عالمیان چیست؟!»,5.068
2962,026031,گفت: «اگر راست می‌گویی آن را بیاور!»,3.971
2968,026037,تا هر ساحر ماهر و دانایی را نزد تو آورند!»,4.598
2971,026040,تا اگر ساحران پیروز شوند، از آنان پیروی کنیم؟!»,4.023
2973,026042,گفت: «(آری،) و در آن صورت شما از مقرّبان خواهید بود!»,5.799
2977,026046,فوراً همه ساحران به سجده افتادند.,3.918
2978,026047,گفتند: «ما به پروردگار عالمیان ایمان آوردیم،,5.277
2979,026048,پروردگار موسی و هارون!»,2.821
2985,026054,(و گفت:) اینها مسلّماً گروهی اندکند؛,4.441
2986,026055,و اینها ما را به خشم آورده‌اند؛,2.456
2987,026056,و ما همگی آماده پیکاریم!»,3.135
2989,026058,و از گنجها و قصرهای مجلّل!,3.239
2996,026065,و موسی و تمام کسانی را که با او بودند نجات دادیم!,5.486
2997,026066,سپس دیگران را غرق کردیم!,3.396
2999,026068,و پروردگارت شکست‌ناپذیر و مهربان است!,4.859
3000,026069,و بر آنان خبر ابراهیم را بخوان،,3.5
3001,026070,هنگامی که به پدر و قومش گفت: «چه چیز را می‌پرستید؟!»,5.381
3004,026073,یا سود و زیانی به شما می‌رسانند؟!»,3.082
3005,026074,گفتند: «ما فقط نیاکان خود را یافتیم که چنین می‌کنند.»,5.904
3007,026076,شما و پدران پیشین شما،,2.717
3009,026078,همان کسی که مرا آفرید، و پیوسته راهنمائیم می‌کند،,5.381
3010,026079,و کسی که مرا غذا می‌دهد و سیراب می‌نماید،,4.545
3011,026080,و هنگامی که بیمار شوم مرا شفا می‌دهد،,4.65
3012,026081,و کسی که مرا می‌میراند و سپس زنده می‌کند،,4.807
3013,026082,و کسی که امید دارم گناهم را در روز جزا ببخشد!,5.277
3016,026085,و مرا وارثان بهشت پرنعمت گردان!,4.493
3017,026086,و پدرم [= عمویم‌] را بیامرز، که او از گمراهان بود!,5.172
3019,026088,در آن روز که مال و فرزندان سودی نمی‌بخشد،,4.075
3020,026089,مگر کسی که با قلب سلیم به پیشگاه خدا آید!»,5.59
3021,026090,(در آن روز،) بهشت برای پرهیزکاران نزدیک می‌شود،,5.068
3022,026091,و دوزخ برای گمراهان آشکار می‌گردد،,4.65
3026,026095,و همچنین همگی لشکریان ابلیس!,3.814
3027,026096,آنها در آنجا در حالی که به مخاصمه برخاسته‌اند می‌گویند:,5.538
3028,026097,«به خدا سوگند که ما در گمراهی آشکاری بودیم،,4.336
3029,026098,چون شما را با پروردگار عالمیان برابر می‌شمردیم!,5.277
3030,026099,امّا کسی جز مجرمان ما را گمراه نکرد!,3.814
3031,026100,(افسوس که امروز) شفاعت‌کنندگانی برای ما وجود ندارد،,5.224
3032,026101,و نه دوست گرم و پرمحبّتی!,2.717
3033,026102,ای کاش بار دیگر (به دنیا) بازگردیم و از مؤمنان باشیم!»,5.381
3035,026104,و پروردگار تو عزیز و رحیم است!,3.814
3036,026105,قوم نوح رسولان را تکذیب کردند،,3.605
3038,026107,مسلّماً من برای شما پیامبری امین هستم!,4.284
3039,026108,تقوای الهی پیشه کنید و مرا اطاعت نمایید!,4.545
3041,026110,پس، تقوای الهی پیشه کنید و مرا اطاعت نمایید!»,5.224
3043,026112,(نوح) گفت: «من چه می‌دانم آنها چه کاری داشته‌اند!,5.172
3044,026113,حساب آنها تنها با پروردگار من است اگر شما می‌فهمیدید!,5.277
3045,026114,و من هرگز مؤمنان را طرد نخواهم کرد.,3.814
3046,026115,من تنها انذارکننده‌ای آشکارم.»,3.762
3048,026117,گفت: «پروردگارا! قوم من، مرا تکذیب کردند!,5.799
3051,026120,سپس بقیه را غرق کردیم!,3.135
3053,026122,و پروردگار تو عزیز و رحیم است.,3.866
3054,026123,قوم عاد (نیز) رسولان (خدا) را تکذیب کردند،,4.441
3056,026125,مسلماً من برای شما پیامبری امین هستم.,4.441
3057,026126,پس تقوای الهی پیشه کنید و مرا اطاعت نمایید!,4.807
3062,026131,پس تقوای الهی پیشه کنید و مرا اطاعت نمایید!,5.277
3065,026134,همچنین به باغها و چشمه‌ها!,3.135
3068,026137,این همان روش (و افسانه‌های) پیشینیان است!,2.873
3069,026138,و ما هرگز مجازات نخواهیم شد!»,2.926
3071,026140,و پروردگار تو عزیز و رحیم است!,3.448
3072,026141,قوم ثمود رسولان (خدا) را تکذیب کردند،,4.493
3074,026143,من برای شما پیامبری امین هستم!,3.344
3075,026144,پس تقوای الهی پیشه کنید و مرا اطاعت نمایید!,4.598
3078,026147,در این باغها و چشمه‌ها،,2.456
3081,026150,پس از خدا بترسید و مرا اطاعت کنید!,4.336
3082,026151,و فرمان مسرفان را اطاعت نکنید!,3.553
3083,026152,همانها که در زمین فساد می‌کنند و اصلاح نمی‌کنند!»,5.224
3090,026159,و پروردگار تو عزیز و رحیم است!,4.911
3091,026160,قوم لوط فرستادگان (خدا) را تکذیب کردند،,4.545
3093,026162,من برای شما پیامبری امین هستم!,3.553
3094,026163,پس تقوای الهی پیشه کنید و مرا اطاعت نمایید!,4.702
3096,026165,آیا در میان جهانیان، شما به سراغ جنس ذکور می‌روید (و همجنس بازی می‌کنید، آیا این زشت و ننگین نیست؟!),5.172
3099,026168,گفت: «من دشمن سرسخت اعمال شما هستم!,4.493
3101,026170,ما او و تمامی خاندانش را نجات دادیم،,4.598
3102,026171,جز پیرزنی که در میان بازماندگان بود!,3.762
3103,026172,سپس دیگران را هلاک کردیم!,2.717
3106,026175,و پروردگار تو عزیز و رحیم است!,3.866
3107,026176,اصحاب ایکه [= شهری نزدیک مدین‌] رسولان (خدا) را تکذیب کردند،,4.754
3108,026177,هنگامی که شعیب به آنها گفت: «آیا تقوا پیشه نمی‌کنید؟!,5.642
3109,026178,مسلّماً من برای شما پیامبری امین هستم!,4.127
3110,026179,پس تقوای الهی پیشه کنید و مرا اطاعت نمایید!,4.65
3113,026182,و با ترازوی صحیح وزن کنید!,3.187
3116,026185,آنها گفتند: «تو فقط از افسون‌شدگانی!,3.762
3118,026187,اگر راست می‌گویی، سنگهایی از آسمان بر سر ما بباران!»,5.016
3122,026191,و پروردگار تو عزیز و رحیم است!,3.553
3124,026193,روح الامین آن را نازل کرده است...,2.769
3125,026194,بر قلب (پاک) تو، تا از انذارکنندگان باشی!,4.754
3126,026195,آن را به زبان عربی آشکار (نازل کرد)!,4.389
3127,026196,و توصیف آن در کتابهای پیشینیان نیز آمده است!,4.963
3129,026198,هرگاه ما آن را بر بعضی از عجم [= غیر عرب‌]ها نازل می‌کردیم...,5.277
3130,026199,و او آن را بر ایشان می‌خواند، به آن ایمان نمی‌آورند!,4.807
3133,026202,ناگهان به سراغشان می‌آید، در حالی که توجّه ندارند!,5.277
3134,026203,و (در آن هنگام) می‌گویند: «آیا به ما مهلتی داده خواهد شد؟!»,5.068
3135,026204,آیا برای عذاب ما عجله می‌کنند؟!,3.344
3140,026209,تا متذکّر شوند؛ و ما هرگز ستمکار نبودیم! (که بدون اتمام حجّت مجازات کنیم),5.642
3141,026210,شیاطین و جنیّان (هرگز) این آیات را نازل نکردند!,5.172
3142,026211,و برای آنها سزاوار نیست؛ و قدرت ندارند!,4.807
3145,026214,و خویشاوندان نزدیکت را انذار کن!,3.657
3148,026217,و بر خداوند عزیز و رحیم توکّل کن!,3.866
3150,026219,و (نیز) حرکت تو را در میان سجده‌کنندگان!,4.284
3151,026220,اوست خدای شنوا و دانا.,3.135
3152,026221,آیا به شما خبر دهم که شیاطین بر چه کسی نازل می‌شوند؟!,5.381
3153,026222,آنها بر هر دروغگوی گنهکار نازل می‌گردند؛,4.859
3156,026225,آیا نمی‌بینی آنها در هر وادی سرگردانند؟,4.545
3157,026226,و سخنانی می‌گویند که (به آنها) عمل نمی‌کنند؟!,4.336
3160,027002,وسیله هدایت و بشارت برای مؤمنان است؛,4.232
3167,027009,ای موسی! من خداوند عزیز و حکیمم!,5.381
3235,027077,و مایه هدایت و رحمت برای مؤمنان است!,4.075
3253,028002,اینها از آیات کتاب مبین است!,3.291
3410,030002,رومیان مغلوب شدند!,2.142
3422,030014,آن روز که قیامت برپا می‌گردد، (مردم) از هم جدا می‌شوند؛,5.904
3457,030049,و قطعاً پیش از آنکه بر آنان نازل شود مایوس بودند!,5.329
3470,031002,این آیات کتاب حکیم است (کتابی پرمحتوا و استوار)!,3.187
3471,031003,مایه هدایت و رحمت برای نیکوکاران است.,4.493
3573,033041,ای کسانی که ایمان آورده‌اید! خدا را بسیار یاد کنید،,5.433
3574,033042,و صبح و شام او را تسبیح گویید!,3.291
3634,034029,می‌گویند: «اگر راست می‌گویید، این وعده (رستاخیز) کی خواهد بود؟!»,5.799
3675,035016,اگر بخواهد شما را می‌برد و خلق جدیدی می‌آورد؛,4.911
3676,035017,و این برای خداوند مشکل نیست!,3.344
3678,035019,و نابینا و بینا هرگز برابر نیستند،,4.336
3679,035020,و نه ظلمتها و روشنایی،,2.612
3680,035021,و نه سایه (آرامبخش) و باد داغ و سوزان!,4.963
3682,035023,تو فقط انذارکننده‌ای، (اگر ایمان نیاورند نگران نباش، وظیفه‌ات را انجام ده.),2.769
3706,036002,سوگند به قرآن حکیم.,2.926
3707,036003,که تو قطعاً از رسولان (خداوند) هستی،,4.023
3708,036004,بر راهی راست (قرار داری)؛,2.09
3721,036017,و بر عهده ما چیزی جز ابلاغ آشکار نیست!»,4.493
3728,036024,اگر چنین کنم، من در گمراهی آشکاری خواهم بود!,4.441
3736,036032,و همه آنان (روز قیامت) نزد ما احضار می‌شوند!,4.545
3746,036042,و برای آنها مرکبهای دیگری همانند آن آفریدیم.,4.911
3759,036055,بهشتیان، امروز به نعمتهای خدا مشغول و مسرورند.,5.277
3763,036059,(و به آنها می‌گویند:) جدا شوید امروز ای گنهکاران!,5.538
3765,036061,و اینکه مرا بپرستید که راه مستقیم این است؟!,4.545
3766,036062,او گروه زیادی از شما را گمراه کرد، آیا اندیشه نکردید؟!,5.695
3767,036063,این همان دوزخی است که به شما وعده داده می‌شد!,4.18
3789,037002,و به نهی‌کنندگان و (بازدارندگان),2.194
3790,037003,و تلاوت‌کنندگان پیاپی آیات الهی...,4.545
3791,037004,که معبود شما یگانه است؛,2.612
3793,037006,ما آسمان نزدیک [= پایین‌] را با ستارگان آراستیم،,5.224
3794,037007,تا آن را از هر شیطان خبیثی حفظ کنیم!,4.336
3799,037012,تو از انکارشان تعجّب می‌کنی، ولی آنها مسخره می‌کنند!,5.695
3802,037015,و می‌گویند: «این فقط سحری آشکار است!,4.389
3804,037017,یا پدران نخستین ما (بازمی‌گردند)؟!»,4.336
3807,037020,و می‌گویند: «ای وای بر ما، این روز جزاست!»,5.277
3811,037024,آنها را نگهدارید که باید بازپرسی شوند!,3.762
3812,037025,شما را چه شده که از هم یاری نمی‌طلبید؟!,3.709
3813,037026,ولی آنان در آن روز تسلیم قدرت خداوندند!,4.545
3814,037027,(و در این حال) رو به یکدیگر کرده و از هم می‌پرسند...,4.911
3819,037032,ما شما را گمراه کردیم، همان گونه که خود گمراه بودیم!,4.702
3821,037034,ما این گونه با مجرمان رفتار می‌کنیم!,3.135
3826,037039,و جز به آنچه انجام می‌دادید کیفر داده نمی‌شوید،,4.911
3827,037040,جز بندگان مخلص خدا (که از این کیفرها برکنارند)!,2.403
3828,037041,برای آنان [= بندگان مخلص‌] روزی معیّن و ویژه‌ای است،,3.971
3830,037043,در باغهای پر نعمت بهشت؛,2.873
3831,037044,در حالی که بر تختها رو به روی یکدیگر تکیه زده‌اند،,5.851
3833,037046,شرابی سفید و درخشنده، و لذّتبخش برای نوشندگان؛,5.642
3838,037051,کسی از آنها می‌گوید: «من همنشینی داشتم...,4.65
3839,037052,که پیوسته می‌گفت: آیا (به راستی) تو این سخن را باور کرده‌ای...,5.799
3841,037054,(سپس) می‌گوید: «آیا شما می‌توانید از او خبری بگیرید؟»,5.329
3847,037060,راستی این همان پیروزی بزرگ است!,3.239
3849,037062,آیا این (نعمتهای جاویدان بهشتی) بهتر است یا درخت (نفرت‌انگیز) زقّوم؟!,4.389
3850,037063,ما آن را مایه درد و رنج ظالمان قرار دادیم!,4.493
3851,037064,آن درختی است که از قعر جهنّم می‌روید!,3.814
3852,037065,شکوفه آن مانند سرهای شیاطین است!,3.918
3854,037067,سپس روی آن آب داغ متعفّنی می‌نوشند!,4.65
3855,037068,سپس بازگشت آنها به سوی جهنّم است!,3.657
3856,037069,چرا که آنها پدران خود را گمراه یافتند،,3.918
3857,037070,با این حال به سرعت بدنبال آنان کشانده می‌شوند!,4.545
3858,037071,و قبل از آنها بیشتر پیشینیان (نیز) گمراه شدند!,5.224
3859,037072,ما در میان آنها انذارکنندگانی فرستادیم،,4.336
3860,037073,ولی بنگر عاقبت انذارشوندگان چگونه بود!,4.023
3861,037074,مگر بندگان مخلص خدا!,2.978
3864,037077,و فرزندانش را همان بازماندگان (روی زمین) قرار دادیم،,5.59
3865,037078,و نام نیک او را در میان امّتهای بعد باقی نهادیم.,5.486
3866,037079,سلام بر نوح در میان جهانیان باد!,3.971
3867,037080,ما این گونه نیکوکاران را پاداش می‌دهیم!,3.866
3868,037081,چرا که او از بندگان باایمان ما بود!,3.866
3869,037082,سپس دیگران [= دشمنان او] را غرق کردیم!,3.082
3870,037083,و از پیروان او ابراهیم بود؛,3.239
3872,037085,هنگامی که به پدر و قومش گفت: «اینها چیست که می‌پرستید؟!,5.538
3873,037086,آیا غیر از خدا به سراغ این معبودان دروغین می‌روید؟!,4.389
3874,037087,شما درباره پروردگار عالمیان چه گمان می‌برید؟!,4.336
3875,037088,(سپس) نگاهی به ستارگان افکند...,3.605
3877,037090,آنها از او روی برتافته و به او پشت کردند (و بسرعت دور شدند.),4.18
3879,037092,(اصلاً) چرا سخن نمی‌گویید؟!»,2.456
3881,037094,آنها با سرعت به او روی آوردند.,3.239
3882,037095,گفت: «آیا چیزی را می‌پرستید که با دست خود می‌تراشید؟!,5.277
3883,037096,با اینکه خداوند هم شما را آفریده و هم بتهایی که می‌سازید!»,5.799
3888,037101,ما او [= ابراهیم‌] را به نوجوانی بردبار و صبور بشارت دادیم!,5.538
3891,037104,او را ندا دادیم که: «ای ابراهیم!,3.866
3893,037106,این مسلّماً همان امتحان آشکار است!,3.762
3894,037107,ما ذبح عظیمی را فدای او کردیم،,3.396
3895,037108,و نام نیک او را در امّتهای بعد باقی نهادیم!,5.12
3896,037109,سلام بر ابراهیم!,1.985
3897,037110,این گونه نیکوکاران را پاداش می‌دهیم!,3.135
3898,037111,او از بندگان باایمان ما است!,3.866
3901,037114,ما به موسی و هارون نعمت بخشیدیم!,3.396
3902,037115,و آن دو و قومشان را از اندوه بزرگ نجات دادیم!,5.172
3903,037116,و آنها را یاری کردیم تا بر دشمنان خود پیروز شدند!,4.911
3904,037117,ما به آن دو، کتاب روشنگر دادیم،,3.605
3905,037118,و آن دو را به راه راست هدایت نمودیم!,3.918
3906,037119,و نام نیکشان را در اقوام بعد باقی گذاردیم!,4.702
3907,037120,سلام بر موسی و هارون!,3.135
3908,037121,ما این گونه نیکوکاران را پاداش می‌دهیم!,3.814
3909,037122,آن دو از بندگان مؤمن ما بودند!,3.657
3910,037123,و الیاس از رسولان (ما) بود!,3.344
3913,037126,خدایی که پروردگار شما و پروردگار نیاکان شماست!»,5.695
3915,037128,مگر بندگان مخلص خدا!,2.456
3916,037129,ما نام نیک او را در میان امّتهای بعد باقی گذاردیم!,5.799
3917,037130,سلام بر الیاسین!,2.664
3918,037131,ما این گونه نیکوکاران را پاداش می‌دهیم!,3.553
3919,037132,او از بندگان مؤمن ما است!,2.508
3920,037133,و لوط از رسولان (ما) است!,2.612
3923,037136,سپس بقیه را نابود کردیم!,2.821
3925,037138,و (همچنین) شبانگاه؛ آیا نمی‌اندیشید؟!,4.389
3926,037139,و یونس از رسولان (ما) است!,2.873
3930,037143,و اگر او از تسبیح‌کنندگان نبود...,3.344
3931,037144,تا روز قیامت در شکم ماهی می‌ماند!,3.866
3934,037147,و او را به سوی جمعیّت یکصد هزار نفری -یا بیشتر- فرستادیم!,5.956
3937,037150,آیا ما فرشتگان را مؤنث آفریدیم و آنها ناظر بودند؟!,5.538
3938,037151,دانید آنها با این تهمت بزرگشان می‌گویند:,4.545
3939,037152,«خداوند فرزند آورده!» ولی آنها به یقین دروغ می‌گویند!,5.538
3940,037153,آیا دختران را بر پسران ترجیح داده است؟!,3.814
3941,037154,شما را چه شده است؟! چگونه حکم می‌کنید؟! (هیچ می‌فهمید چه می‌گویید؟!),4.127
3942,037155,آیا متذکّر نمی‌شوید؟!,2.299
3943,037156,یا شما دلیل روشنی در این باره دارید؟,3.762
3944,037157,کتابتان را بیاورید اگر راست می‌گویید!,3.553
3946,037159,منزّه است خداوند از آنچه توصیف می‌کنند،,4.232
3947,037160,مگر بندگان مخلص خدا!,2.403
3948,037161,شما و آنچه را پرستش می‌کنید،,3.291
3949,037162,هرگز نمی‌توانید کسی را (با آن) فریب دهید،,4.336
3950,037163,مگر آنها که در آتش دوزخ وارد می‌شوند!,3.918
3951,037164,و هیچ یک از ما نیست جز آنکه مقام معلومی دارد؛,4.963
3953,037166,و ما همه تسبیح‌گوی او هستیم!,3.5
3954,037167,آنها پیوسته می‌گفتند:,2.299
3955,037168,«اگر یکی از کتابهای پیشینیان نزد ما بود،,3.448
3956,037169,به یقین، ما بندگان مخلص خدا بودیم!»,3.605
3959,037172,که آنان یاری شدگانند،,2.508
3960,037173,و لشکر ما پیروزند!,2.09
3963,037176,آیا آنها برای عذاب ما شتاب می‌کنند؟!,4.336
3965,037178,از آنان روی بگردان تا زمان معیّنی!,4.023
3968,037181,و سلام بر رسولان!,2.142
3971,038002,ولی کافران گرفتار غرور اختلافند!,4.023
4016,038047,و آنها نزد ما از برگزیدگان و نیکانند!,4.336
4019,038050,باغهای جاویدان بهشتی که درهایش به روی آنان گشوده است،,5.695
4022,038053,این همان است که برای روز حساب به شما وعده داده می‌شود (وعده‌ای تخلّف ناپذیر)!,5.486
4023,038054,این روزی ما است که هرگز آن را پایانی نیست!,4.859
4025,038056,دوزخ، که در آن وارد می‌شوند؛ و چه بستر بدی است!,5.433
4027,038058,و جز اینها کیفرهای دیگری همانند آن دارند!,4.441
4032,038063,آیا ما آنان را به مسخره گرفتیم یا (به اندازه‌ای حقیرند که) چشمها آنها را نمی‌بیند؟!,5.538
4033,038064,این یک واقعیت است گفتگوهای خصمانه دوزخیان!,4.963
4036,038067,بگو: «این خبری بزرگ است،,3.082
4037,038068,که شما از آن روی‌گردانید!,2.508
4042,038073,در آن هنگام همه فرشتگان سجده کردند،,3.918
4043,038074,جز ابلیس که تکبّر ورزید و از کافران بود!,4.807
4047,038078,و مسلّماً لعنت من بر تو تا روز قیامت خواهد بود!,5.642
4049,038080,فرمود: «تو از مهلت داده‌شدگانی،,3.5
4050,038081,ولی تا روز و زمان معیّن!»,3.396
4051,038082,گفت: «به عزّتت سوگند، همه آنان را گمراه خواهم کرد،,5.695
4052,038083,مگر بندگان خالص تو، از میان آنها!»,3.866
4053,038084,فرمود: «به حق سوگند، و حق می‌گویم،,4.859
4056,038087,این (قرآن) تذکّری برای همه جهانیان است؛,4.65
4057,038088,و خبر آن را بعد از مدّتی می‌شنوید!,4.023
4069,039012,و مأمورم که نخستین مسلمان باشم!,4.075
4087,039030,تو می‌میری و آنها نیز خواهند مرد!,3.344
4134,040002,این کتابی است که از سوی خداوند قادر و دانا نازل شده است.,5.851
4224,041007,همانها که زکات را نمی‌پردازند، و آخرت را منکرند!,5.851
4273,042002,عسق.,3.187
4326,043002,سوگند به کتاب مبین (و روشنگر)،,2.821
